Age,Gender,Education Level,Occupation,Political Affiliation,Geographic Location,Social Media Usage Frequency,Preferred Social Media,Political Content Exposure,Types of Political Content,Sources of Political Content,Recency of Exposure,Interactions Frequency,Political Content Topics,Perception of Accuracy,Awareness of Algorithms,Perception of Relevance,Personal Impact,Trust in Social Media,Concerns about Algorithms,Overall Quality of Discourse,Views on Influence,Suggestions for Improvement
52,Non-binary,Master's,Unemployed,Independent,USA,0-1 hour,Instagram,Rarely,News articles,Independent bloggers,Within the last 24 hours,Few times a week,Healthcare,Very accurate,Yes,Somewhat relevant,No impact,Trust somewhat,Not concerned,High quality,Very influential,Enhance user controls
69,Male,PhD,Student,Independent,Canada,0-1 hour,Twitter,Several times a day,Opinion pieces,Independent bloggers,Within the last 24 hours,Several times a day,Economy,Somewhat accurate,No,Somewhat relevant,Strong impact,Do not trust,Somewhat concerned,High quality,Not influential,Provide more diverse sources
19,Male,High School,Employed,Conservative,UK,4+ hours,Instagram,Several times a day,News articles,Political parties,Longer than a week ago,Once a day,Healthcare,Very accurate,No,Not relevant,Moderate impact,Do not trust,Not concerned,High quality,Not influential,Provide more diverse sources
66,Male,High School,Unemployed,Conservative,Australia,1-2 hours,Facebook,Once a day,Memes,Mainstream media,Longer than a week ago,Once a day,Immigration,Somewhat accurate,No,Very relevant,Strong impact,Do not trust,Very concerned,High quality,Somewhat influential,Increase transparency
53,Male,Bachelor's,Unemployed,Independent,UK,0-1 hour,Instagram,Rarely,Opinion pieces,Independent bloggers,Within the last week,Rarely,Economy,Very accurate,Yes,Somewhat relevant,No impact,Do not trust,Somewhat concerned,High quality,Not influential,Provide more diverse sources
68,Non-binary,PhD,Unemployed,Independent,UK,4+ hours,Twitter,Once a day,Memes,Mainstream media,Within the last hour,Several times a day,Immigration,Very accurate,No,Not relevant,No impact,Do not trust,Somewhat concerned,Low quality,Not influential,Increase transparency
52,Non-binary,High School,Student,Liberal,USA,1-2 hours,Twitter,Few times a week,News articles,Mainstream media,Within the last 24 hours,Once a day,Immigration,Very accurate,Yes,Not relevant,No impact,Do not trust,Somewhat concerned,Low quality,Very influential,Provide more diverse sources
35,Male,High School,Unemployed,Liberal,Canada,2-4 hours,Instagram,Few times a week,Opinion pieces,Political parties,Within the last hour,Rarely,Economy,Somewhat accurate,Yes,Very relevant,Strong impact,Trust a lot,Somewhat concerned,Moderate quality,Not influential,Increase transparency
27,Female,PhD,Unemployed,Conservative,USA,0-1 hour,Twitter,Rarely,Memes,Mainstream media,Within the last 24 hours,Several times a day,Environment,Very accurate,Yes,Somewhat relevant,Moderate impact,Do not trust,Not concerned,Low quality,Very influential,Enhance user controls
68,Male,High School,Employed,Liberal,Australia,4+ hours,Twitter,Rarely,Memes,Political parties,Longer than a week ago,Rarely,Economy,Very accurate,No,Somewhat relevant,No impact,Do not trust,Very concerned,High quality,Somewhat influential,Increase transparency
73,Female,Bachelor's,Unemployed,Conservative,Canada,0-1 hour,Instagram,Rarely,News articles,Mainstream media,Within the last 24 hours,Several times a day,Immigration,Not accurate,No,Not relevant,Strong impact,Trust a lot,Not concerned,High quality,Not influential,Improve fact-checking
42,Female,High School,Student,Conservative,Australia,2-4 hours,Instagram,Several times a day,News articles,Independent bloggers,Within the last 24 hours,Few times a week,Economy,Somewhat accurate,Yes,Somewhat relevant,No impact,Trust a lot,Somewhat concerned,Moderate quality,Somewhat influential,Provide more diverse sources
78,Female,Bachelor's,Student,Independent,Australia,1-2 hours,Twitter,Several times a day,Memes,Political parties,Within the last hour,Rarely,Healthcare,Somewhat accurate,Yes,Not relevant,No impact,Do not trust,Not concerned,High quality,Not influential,Improve fact-checking
27,Non-binary,Bachelor's,Unemployed,Conservative,UK,0-1 hour,Instagram,Several times a day,Memes,Independent bloggers,Within the last week,Few times a week,Environment,Not accurate,Yes,Very relevant,Moderate impact,Do not trust,Not concerned,Low quality,Not influential,Increase transparency
21,Male,PhD,Unemployed,Independent,Canada,1-2 hours,Instagram,Few times a week,Memes,Mainstream media,Longer than a week ago,Rarely,Economy,Somewhat accurate,Yes,Not relevant,Moderate impact,Trust somewhat,Not concerned,Moderate quality,Very influential,Increase transparency
57,Female,High School,Student,Conservative,UK,2-4 hours,Instagram,Once a day,Memes,Political parties,Within the last week,Rarely,Immigration,Not accurate,No,Somewhat relevant,Strong impact,Trust somewhat,Not concerned,Low quality,Somewhat influential,Enhance user controls
79,Non-binary,PhD,Employed,Liberal,USA,2-4 hours,Twitter,Rarely,News articles,Mainstream media,Within the last week,Several times a day,Immigration,Somewhat accurate,Yes,Very relevant,Strong impact,Do not trust,Very concerned,Low quality,Not influential,Improve fact-checking
69,Female,High School,Employed,Conservative,USA,1-2 hours,Facebook,Several times a day,Memes,Mainstream media,Within the last 24 hours,Few times a week,Environment,Very accurate,Yes,Not relevant,Strong impact,Trust somewhat,Not concerned,High quality,Not influential,Improve fact-checking
62,Non-binary,PhD,Student,Liberal,USA,0-1 hour,Instagram,Several times a day,Memes,Independent bloggers,Longer than a week ago,Rarely,Healthcare,Somewhat accurate,No,Not relevant,Strong impact,Trust somewhat,Somewhat concerned,Low quality,Very influential,Improve fact-checking
64,Male,Master's,Student,Conservative,Canada,4+ hours,Twitter,Several times a day,Opinion pieces,Mainstream media,Within the last 24 hours,Few times a week,Healthcare,Somewhat accurate,No,Somewhat relevant,Strong impact,Do not trust,Not concerned,High quality,Somewhat influential,Increase transparency
18,Male,Master's,Student,Conservative,Canada,2-4 hours,Twitter,Few times a week,Memes,Political parties,Within the last hour,Few times a week,Immigration,Somewhat accurate,No,Somewhat relevant,Strong impact,Trust a lot,Not concerned,Moderate quality,Not influential,Improve fact-checking
76,Female,Master's,Employed,Independent,Canada,2-4 hours,Twitter,Few times a week,Memes,Mainstream media,Longer than a week ago,Rarely,Environment,Very accurate,No,Very relevant,Moderate impact,Trust somewhat,Very concerned,High quality,Somewhat influential,Enhance user controls
63,Female,PhD,Student,Independent,USA,1-2 hours,Twitter,Several times a day,News articles,Independent bloggers,Within the last hour,Several times a day,Immigration,Somewhat accurate,Yes,Not relevant,No impact,Do not trust,Not concerned,Moderate quality,Very influential,Enhance user controls
50,Female,Master's,Unemployed,Conservative,UK,4+ hours,Instagram,Several times a day,News articles,Political parties,Within the last 24 hours,Once a day,Environment,Very accurate,No,Somewhat relevant,Moderate impact,Do not trust,Somewhat concerned,Low quality,Not influential,Enhance user controls
43,Male,Bachelor's,Employed,Conservative,UK,2-4 hours,Twitter,Once a day,Memes,Political parties,Within the last 24 hours,Few times a week,Healthcare,Very accurate,No,Not relevant,Moderate impact,Trust somewhat,Somewhat concerned,Low quality,Somewhat influential,Provide more diverse sources
56,Male,High School,Employed,Liberal,Australia,2-4 hours,Twitter,Several times a day,News articles,Political parties,Longer than a week ago,Several times a day,Environment,Somewhat accurate,Yes,Very relevant,No impact,Trust a lot,Very concerned,Moderate quality,Not influential,Enhance user controls
33,Male,PhD,Employed,Independent,Canada,1-2 hours,Instagram,Rarely,News articles,Political parties,Within the last 24 hours,Rarely,Economy,Not accurate,Yes,Very relevant,Strong impact,Trust a lot,Not concerned,Low quality,Very influential,Provide more diverse sources
21,Female,PhD,Unemployed,Liberal,UK,1-2 hours,Facebook,Several times a day,Opinion pieces,Political parties,Within the last week,Rarely,Economy,Very accurate,Yes,Very relevant,No impact,Trust somewhat,Very concerned,High quality,Very influential,Increase transparency
57,Non-binary,Bachelor's,Employed,Conservative,USA,1-2 hours,Twitter,Once a day,Memes,Independent bloggers,Longer than a week ago,Rarely,Immigration,Not accurate,Yes,Somewhat relevant,No impact,Trust a lot,Somewhat concerned,Low quality,Somewhat influential,Improve fact-checking
44,Non-binary,Bachelor's,Employed,Independent,UK,2-4 hours,Twitter,Once a day,News articles,Political parties,Longer than a week ago,Few times a week,Environment,Somewhat accurate,Yes,Very relevant,Strong impact,Trust a lot,Somewhat concerned,Low quality,Not influential,Enhance user controls
34,Non-binary,High School,Unemployed,Conservative,Canada,1-2 hours,Instagram,Once a day,Opinion pieces,Independent bloggers,Within the last week,Once a day,Economy,Not accurate,No,Not relevant,Moderate impact,Trust somewhat,Very concerned,High quality,Very influential,Improve fact-checking
56,Male,PhD,Unemployed,Independent,Australia,2-4 hours,Facebook,Few times a week,Opinion pieces,Political parties,Longer than a week ago,Several times a day,Immigration,Very accurate,Yes,Not relevant,Strong impact,Trust a lot,Very concerned,Moderate quality,Not influential,Provide more diverse sources
53,Female,PhD,Unemployed,Liberal,Canada,1-2 hours,Twitter,Several times a day,Opinion pieces,Independent bloggers,Within the last week,Few times a week,Immigration,Somewhat accurate,Yes,Somewhat relevant,No impact,Trust somewhat,Very concerned,High quality,Somewhat influential,Improve fact-checking
76,Male,PhD,Unemployed,Liberal,Australia,1-2 hours,Instagram,Few times a week,News articles,Mainstream media,Within the last hour,Rarely,Healthcare,Not accurate,Yes,Very relevant,Moderate impact,Trust a lot,Very concerned,High quality,Very influential,Increase transparency
20,Non-binary,Bachelor's,Unemployed,Independent,USA,2-4 hours,Instagram,Rarely,News articles,Political parties,Within the last hour,Few times a week,Economy,Somewhat accurate,No,Somewhat relevant,Strong impact,Trust a lot,Not concerned,Moderate quality,Not influential,Enhance user controls
44,Female,Bachelor's,Unemployed,Conservative,Australia,4+ hours,Twitter,Several times a day,Memes,Independent bloggers,Longer than a week ago,Once a day,Environment,Very accurate,Yes,Not relevant,Moderate impact,Do not trust,Somewhat concerned,High quality,Very influential,Enhance user controls
29,Male,Master's,Employed,Independent,Canada,2-4 hours,Instagram,Rarely,Opinion pieces,Mainstream media,Longer than a week ago,Rarely,Economy,Somewhat accurate,Yes,Very relevant,Strong impact,Trust somewhat,Very concerned,Moderate quality,Not influential,Improve fact-checking
62,Male,Bachelor's,Unemployed,Conservative,Canada,1-2 hours,Twitter,Once a day,Memes,Independent bloggers,Longer than a week ago,Once a day,Healthcare,Very accurate,No,Very relevant,No impact,Trust a lot,Somewhat concerned,Moderate quality,Very influential,Increase transparency
20,Female,PhD,Employed,Independent,Canada,1-2 hours,Twitter,Once a day,Memes,Mainstream media,Within the last week,Rarely,Healthcare,Not accurate,Yes,Somewhat relevant,Strong impact,Do not trust,Not concerned,Low quality,Somewhat influential,Increase transparency
24,Female,High School,Employed,Liberal,Canada,1-2 hours,Twitter,Several times a day,Memes,Mainstream media,Within the last week,Once a day,Immigration,Very accurate,No,Not relevant,Moderate impact,Do not trust,Somewhat concerned,Moderate quality,Very influential,Provide more diverse sources
70,Female,PhD,Student,Liberal,UK,0-1 hour,Instagram,Several times a day,Memes,Mainstream media,Within the last 24 hours,Rarely,Immigration,Somewhat accurate,No,Somewhat relevant,No impact,Trust somewhat,Very concerned,Moderate quality,Very influential,Provide more diverse sources
65,Female,High School,Employed,Conservative,UK,4+ hours,Facebook,Rarely,Memes,Independent bloggers,Within the last week,Several times a day,Environment,Very accurate,Yes,Very relevant,Strong impact,Trust a lot,Very concerned,Low quality,Somewhat influential,Increase transparency
18,Male,Bachelor's,Student,Liberal,UK,1-2 hours,Twitter,Rarely,News articles,Mainstream media,Longer than a week ago,Once a day,Healthcare,Somewhat accurate,No,Very relevant,No impact,Do not trust,Not concerned,Moderate quality,Somewhat influential,Enhance user controls
60,Non-binary,Bachelor's,Unemployed,Independent,Australia,1-2 hours,Instagram,Several times a day,Memes,Independent bloggers,Longer than a week ago,Rarely,Environment,Not accurate,No,Very relevant,Strong impact,Do not trust,Somewhat concerned,Low quality,Very influential,Provide more diverse sources
38,Female,Master's,Employed,Conservative,Canada,1-2 hours,Instagram,Few times a week,News articles,Political parties,Within the last hour,Several times a day,Healthcare,Very accurate,No,Somewhat relevant,No impact,Trust somewhat,Very concerned,Low quality,Very influential,Increase transparency
56,Male,PhD,Employed,Independent,Canada,4+ hours,Facebook,Rarely,Opinion pieces,Mainstream media,Longer than a week ago,Rarely,Healthcare,Not accurate,No,Very relevant,Strong impact,Trust a lot,Somewhat concerned,Low quality,Very influential,Provide more diverse sources
40,Male,PhD,Student,Independent,USA,0-1 hour,Instagram,Few times a week,Memes,Mainstream media,Within the last hour,Once a day,Immigration,Very accurate,Yes,Not relevant,No impact,Do not trust,Somewhat concerned,Moderate quality,Not influential,Improve fact-checking
31,Non-binary,PhD,Employed,Conservative,USA,2-4 hours,Instagram,Several times a day,Memes,Independent bloggers,Within the last 24 hours,Rarely,Environment,Very accurate,No,Very relevant,Strong impact,Trust somewhat,Not concerned,Moderate quality,Not influential,Improve fact-checking
21,Non-binary,Master's,Unemployed,Liberal,Canada,1-2 hours,Instagram,Once a day,News articles,Mainstream media,Longer than a week ago,Once a day,Healthcare,Not accurate,Yes,Very relevant,No impact,Do not trust,Somewhat concerned,Moderate quality,Very influential,Increase transparency
50,Non-binary,Master's,Unemployed,Liberal,Canada,0-1 hour,Facebook,Few times a week,Memes,Political parties,Longer than a week ago,Rarely,Immigration,Not accurate,No,Very relevant,Strong impact,Trust somewhat,Somewhat concerned,High quality,Somewhat influential,Improve fact-checking
20,Female,High School,Employed,Independent,Australia,0-1 hour,Facebook,Rarely,News articles,Mainstream media,Within the last 24 hours,Few times a week,Immigration,Somewhat accurate,Yes,Very relevant,No impact,Do not trust,Very concerned,Low quality,Not influential,Provide more diverse sources
45,Female,High School,Student,Conservative,UK,0-1 hour,Facebook,Rarely,Memes,Political parties,Within the last hour,Several times a day,Immigration,Not accurate,Yes,Very relevant,No impact,Trust somewhat,Very concerned,Moderate quality,Not influential,Improve fact-checking
29,Female,Master's,Employed,Independent,USA,0-1 hour,Instagram,Few times a week,Memes,Mainstream media,Within the last 24 hours,Several times a day,Environment,Not accurate,Yes,Somewhat relevant,No impact,Trust somewhat,Somewhat concerned,Low quality,Not influential,Enhance user controls
54,Non-binary,Bachelor's,Employed,Liberal,UK,1-2 hours,Twitter,Few times a week,News articles,Mainstream media,Within the last 24 hours,Rarely,Economy,Not accurate,Yes,Not relevant,Strong impact,Trust somewhat,Somewhat concerned,High quality,Very influential,Enhance user controls
28,Female,PhD,Unemployed,Liberal,USA,2-4 hours,Facebook,Rarely,News articles,Political parties,Within the last hour,Several times a day,Economy,Very accurate,Yes,Very relevant,Moderate impact,Trust somewhat,Not concerned,Low quality,Very influential,Enhance user controls
27,Female,PhD,Student,Conservative,UK,1-2 hours,Facebook,Once a day,Memes,Mainstream media,Longer than a week ago,Several times a day,Immigration,Not accurate,Yes,Very relevant,Strong impact,Trust a lot,Somewhat concerned,High quality,Somewhat influential,Enhance user controls
31,Female,Master's,Unemployed,Liberal,UK,2-4 hours,Twitter,Several times a day,News articles,Political parties,Within the last hour,Several times a day,Immigration,Not accurate,Yes,Not relevant,Moderate impact,Trust a lot,Very concerned,Moderate quality,Not influential,Provide more diverse sources
22,Male,Bachelor's,Employed,Conservative,USA,2-4 hours,Twitter,Few times a week,News articles,Independent bloggers,Within the last week,Rarely,Healthcare,Somewhat accurate,No,Somewhat relevant,Moderate impact,Do not trust,Somewhat concerned,Low quality,Very influential,Improve fact-checking
72,Non-binary,Bachelor's,Employed,Liberal,Australia,1-2 hours,Facebook,Rarely,News articles,Mainstream media,Within the last week,Several times a day,Healthcare,Somewhat accurate,Yes,Somewhat relevant,Strong impact,Trust somewhat,Not concerned,High quality,Not influential,Improve fact-checking
54,Male,High School,Unemployed,Conservative,UK,1-2 hours,Instagram,Rarely,News articles,Political parties,Within the last hour,Few times a week,Environment,Very accurate,No,Not relevant,No impact,Trust somewhat,Very concerned,Low quality,Somewhat influential,Improve fact-checking
25,Female,PhD,Unemployed,Independent,USA,0-1 hour,Twitter,Rarely,Opinion pieces,Independent bloggers,Within the last week,Once a day,Economy,Not accurate,Yes,Not relevant,Moderate impact,Trust a lot,Very concerned,Moderate quality,Very influential,Improve fact-checking
35,Male,Master's,Employed,Independent,Australia,1-2 hours,Twitter,Few times a week,Memes,Mainstream media,Longer than a week ago,Rarely,Healthcare,Somewhat accurate,Yes,Not relevant,No impact,Do not trust,Somewhat concerned,Low quality,Somewhat influential,Enhance user controls
48,Male,PhD,Student,Independent,Australia,0-1 hour,Twitter,Once a day,News articles,Mainstream media,Longer than a week ago,Once a day,Environment,Very accurate,No,Somewhat relevant,Moderate impact,Trust somewhat,Not concerned,High quality,Not influential,Provide more diverse sources
41,Male,High School,Employed,Independent,UK,0-1 hour,Twitter,Once a day,News articles,Independent bloggers,Within the last week,Few times a week,Economy,Somewhat accurate,Yes,Very relevant,Strong impact,Do not trust,Somewhat concerned,Moderate quality,Very influential,Increase transparency
70,Female,Bachelor's,Employed,Liberal,UK,4+ hours,Twitter,Rarely,Memes,Independent bloggers,Within the last week,Rarely,Environment,Not accurate,Yes,Somewhat relevant,Strong impact,Do not trust,Somewhat concerned,High quality,Very influential,Increase transparency
51,Female,PhD,Employed,Conservative,Australia,4+ hours,Facebook,Few times a week,Opinion pieces,Mainstream media,Within the last hour,Few times a week,Healthcare,Very accurate,Yes,Not relevant,No impact,Do not trust,Somewhat concerned,Moderate quality,Very influential,Enhance user controls
41,Female,PhD,Employed,Independent,UK,4+ hours,Facebook,Rarely,News articles,Political parties,Within the last week,Several times a day,Economy,Very accurate,Yes,Not relevant,Strong impact,Do not trust,Not concerned,Moderate quality,Very influential,Enhance user controls
36,Female,High School,Unemployed,Conservative,Australia,1-2 hours,Instagram,Once a day,Memes,Political parties,Within the last hour,Few times a week,Healthcare,Very accurate,Yes,Very relevant,Moderate impact,Trust a lot,Somewhat concerned,Moderate quality,Very influential,Improve fact-checking
58,Female,Master's,Unemployed,Liberal,Australia,2-4 hours,Instagram,Several times a day,Memes,Independent bloggers,Within the last hour,Once a day,Economy,Not accurate,No,Not relevant,No impact,Do not trust,Very concerned,Moderate quality,Very influential,Enhance user controls
24,Male,Master's,Employed,Conservative,Canada,0-1 hour,Twitter,Several times a day,Opinion pieces,Mainstream media,Within the last week,Several times a day,Immigration,Not accurate,Yes,Very relevant,Moderate impact,Trust a lot,Somewhat concerned,Moderate quality,Very influential,Increase transparency
36,Male,PhD,Unemployed,Independent,Canada,4+ hours,Twitter,Once a day,News articles,Independent bloggers,Within the last hour,Rarely,Immigration,Somewhat accurate,No,Not relevant,Moderate impact,Do not trust,Not concerned,High quality,Very influential,Increase transparency
76,Female,PhD,Unemployed,Independent,Australia,4+ hours,Facebook,Few times a week,Memes,Political parties,Longer than a week ago,Once a day,Healthcare,Not accurate,No,Not relevant,Moderate impact,Trust somewhat,Not concerned,High quality,Not influential,Improve fact-checking
74,Female,Bachelor's,Unemployed,Liberal,Australia,0-1 hour,Facebook,Once a day,Memes,Independent bloggers,Longer than a week ago,Few times a week,Immigration,Very accurate,Yes,Somewhat relevant,No impact,Trust somewhat,Somewhat concerned,Moderate quality,Very influential,Increase transparency
56,Female,PhD,Unemployed,Conservative,UK,4+ hours,Instagram,Once a day,News articles,Mainstream media,Within the last 24 hours,Rarely,Environment,Very accurate,No,Not relevant,No impact,Trust somewhat,Very concerned,Low quality,Not influential,Provide more diverse sources
22,Male,Bachelor's,Employed,Independent,Australia,2-4 hours,Instagram,Several times a day,Opinion pieces,Mainstream media,Within the last week,Rarely,Immigration,Somewhat accurate,Yes,Somewhat relevant,Moderate impact,Trust a lot,Not concerned,High quality,Somewhat influential,Increase transparency
26,Female,Bachelor's,Student,Independent,UK,0-1 hour,Twitter,Few times a week,News articles,Mainstream media,Within the last week,Few times a week,Immigration,Not accurate,Yes,Not relevant,No impact,Trust somewhat,Not concerned,Moderate quality,Very influential,Enhance user controls
60,Female,High School,Unemployed,Liberal,Canada,4+ hours,Twitter,Several times a day,Opinion pieces,Mainstream media,Within the last week,Few times a week,Environment,Not accurate,Yes,Very relevant,Moderate impact,Trust a lot,Very concerned,High quality,Somewhat influential,Enhance user controls
51,Non-binary,PhD,Student,Conservative,UK,2-4 hours,Facebook,Once a day,Memes,Independent bloggers,Within the last 24 hours,Few times a week,Environment,Somewhat accurate,Yes,Somewhat relevant,Moderate impact,Do not trust,Somewhat concerned,Moderate quality,Very influential,Enhance user controls
20,Male,High School,Student,Conservative,Australia,2-4 hours,Twitter,Rarely,Memes,Mainstream media,Within the last 24 hours,Several times a day,Immigration,Not accurate,Yes,Not relevant,Strong impact,Trust somewhat,Very concerned,High quality,Somewhat influential,Enhance user controls
34,Male,High School,Unemployed,Independent,USA,0-1 hour,Instagram,Rarely,News articles,Mainstream media,Longer than a week ago,Few times a week,Immigration,Somewhat accurate,Yes,Not relevant,Strong impact,Do not trust,Very concerned,Moderate quality,Not influential,Increase transparency
43,Non-binary,Bachelor's,Employed,Independent,Australia,4+ hours,Facebook,Rarely,News articles,Political parties,Within the last week,Several times a day,Economy,Not accurate,No,Somewhat relevant,Moderate impact,Trust a lot,Very concerned,Low quality,Very influential,Improve fact-checking
60,Female,Bachelor's,Unemployed,Liberal,UK,1-2 hours,Facebook,Once a day,Memes,Independent bloggers,Within the last hour,Several times a day,Immigration,Not accurate,Yes,Not relevant,Moderate impact,Do not trust,Very concerned,High quality,Somewhat influential,Enhance user controls
34,Male,Bachelor's,Employed,Conservative,UK,2-4 hours,Twitter,Several times a day,Memes,Mainstream media,Within the last week,Several times a day,Economy,Somewhat accurate,No,Somewhat relevant,Strong impact,Trust a lot,Somewhat concerned,Moderate quality,Not influential,Improve fact-checking
65,Female,High School,Employed,Liberal,Australia,1-2 hours,Facebook,Once a day,Opinion pieces,Political parties,Within the last week,Once a day,Immigration,Very accurate,Yes,Very relevant,Moderate impact,Do not trust,Somewhat concerned,Moderate quality,Somewhat influential,Enhance user controls
56,Male,PhD,Student,Liberal,Canada,0-1 hour,Instagram,Once a day,News articles,Independent bloggers,Within the last hour,Several times a day,Healthcare,Very accurate,Yes,Not relevant,Moderate impact,Do not trust,Very concerned,High quality,Very influential,Enhance user controls
28,Female,PhD,Student,Liberal,USA,2-4 hours,Facebook,Rarely,Memes,Independent bloggers,Within the last hour,Several times a day,Healthcare,Not accurate,Yes,Somewhat relevant,Moderate impact,Do not trust,Somewhat concerned,Low quality,Somewhat influential,Enhance user controls
18,Male,Bachelor's,Student,Conservative,UK,0-1 hour,Instagram,Few times a week,Opinion pieces,Political parties,Within the last hour,Rarely,Environment,Somewhat accurate,No,Very relevant,Strong impact,Trust a lot,Not concerned,Moderate quality,Somewhat influential,Enhance user controls
79,Male,Bachelor's,Unemployed,Liberal,USA,4+ hours,Twitter,Rarely,Opinion pieces,Political parties,Within the last week,Several times a day,Immigration,Very accurate,No,Very relevant,No impact,Do not trust,Very concerned,Moderate quality,Very influential,Provide more diverse sources
62,Non-binary,Master's,Employed,Independent,Canada,1-2 hours,Facebook,Rarely,News articles,Independent bloggers,Longer than a week ago,Few times a week,Healthcare,Very accurate,Yes,Very relevant,No impact,Do not trust,Not concerned,Moderate quality,Very influential,Provide more diverse sources
54,Female,Bachelor's,Student,Conservative,Australia,2-4 hours,Twitter,Once a day,Memes,Political parties,Longer than a week ago,Several times a day,Environment,Somewhat accurate,Yes,Very relevant,Strong impact,Trust a lot,Not concerned,Low quality,Not influential,Enhance user controls
76,Non-binary,High School,Student,Conservative,UK,1-2 hours,Instagram,Few times a week,Opinion pieces,Independent bloggers,Longer than a week ago,Few times a week,Economy,Somewhat accurate,No,Not relevant,Strong impact,Do not trust,Somewhat concerned,Moderate quality,Not influential,Increase transparency
50,Female,Master's,Employed,Conservative,USA,2-4 hours,Twitter,Once a day,Memes,Mainstream media,Within the last week,Few times a week,Healthcare,Somewhat accurate,No,Somewhat relevant,Strong impact,Do not trust,Somewhat concerned,Moderate quality,Not influential,Improve fact-checking
32,Non-binary,High School,Student,Liberal,UK,0-1 hour,Instagram,Several times a day,News articles,Political parties,Longer than a week ago,Once a day,Environment,Very accurate,No,Somewhat relevant,Moderate impact,Trust a lot,Not concerned,High quality,Somewhat influential,Improve fact-checking
66,Female,Bachelor's,Unemployed,Conservative,Canada,0-1 hour,Twitter,Once a day,Opinion pieces,Independent bloggers,Within the last week,Once a day,Economy,Very accurate,No,Very relevant,Strong impact,Do not trust,Not concerned,Low quality,Very influential,Increase transparency
44,Non-binary,Bachelor's,Unemployed,Conservative,Australia,1-2 hours,Facebook,Once a day,News articles,Mainstream media,Longer than a week ago,Rarely,Immigration,Somewhat accurate,No,Very relevant,Strong impact,Do not trust,Very concerned,Moderate quality,Not influential,Improve fact-checking
33,Non-binary,Master's,Unemployed,Independent,USA,0-1 hour,Twitter,Few times a week,Memes,Political parties,Within the last 24 hours,Several times a day,Healthcare,Not accurate,Yes,Very relevant,No impact,Do not trust,Very concerned,High quality,Not influential,Enhance user controls
58,Male,Bachelor's,Employed,Independent,Canada,0-1 hour,Facebook,Several times a day,Memes,Mainstream media,Within the last hour,Few times a week,Economy,Not accurate,Yes,Not relevant,Moderate impact,Trust somewhat,Somewhat concerned,High quality,Not influential,Provide more diverse sources
24,Non-binary,PhD,Unemployed,Liberal,USA,2-4 hours,Facebook,Rarely,News articles,Mainstream media,Within the last 24 hours,Once a day,Environment,Somewhat accurate,Yes,Somewhat relevant,No impact,Do not trust,Somewhat concerned,Moderate quality,Very influential,Improve fact-checking
72,Male,High School,Unemployed,Liberal,UK,0-1 hour,Facebook,Rarely,Opinion pieces,Political parties,Within the last hour,Few times a week,Immigration,Very accurate,No,Somewhat relevant,Moderate impact,Do not trust,Very concerned,High quality,Very influential,Enhance user controls
63,Non-binary,Master's,Unemployed,Independent,USA,1-2 hours,Instagram,Several times a day,Opinion pieces,Independent bloggers,Within the last week,Few times a week,Economy,Very accurate,No,Not relevant,No impact,Do not trust,Not concerned,Moderate quality,Not influential,Improve fact-checking
20,Female,Bachelor's,Employed,Conservative,USA,1-2 hours,Instagram,Few times a week,News articles,Political parties,Within the last hour,Once a day,Healthcare,Somewhat accurate,Yes,Very relevant,No impact,Trust a lot,Not concerned,Low quality,Somewhat influential,Increase transparency
23,Male,High School,Unemployed,Conservative,Australia,2-4 hours,Twitter,Once a day,Opinion pieces,Independent bloggers,Within the last 24 hours,Few times a week,Environment,Not accurate,No,Somewhat relevant,Moderate impact,Do not trust,Very concerned,Moderate quality,Somewhat influential,Increase transparency
68,Female,Bachelor's,Student,Liberal,USA,2-4 hours,Facebook,Few times a week,Memes,Mainstream media,Within the last 24 hours,Several times a day,Healthcare,Somewhat accurate,No,Not relevant,Moderate impact,Do not trust,Very concerned,Moderate quality,Not influential,Provide more diverse sources
36,Female,PhD,Unemployed,Liberal,UK,0-1 hour,Twitter,Once a day,News articles,Independent bloggers,Longer than a week ago,Several times a day,Immigration,Somewhat accurate,Yes,Very relevant,Strong impact,Trust somewhat,Very concerned,Moderate quality,Somewhat influential,Provide more diverse sources
55,Female,High School,Unemployed,Independent,USA,1-2 hours,Facebook,Few times a week,Opinion pieces,Independent bloggers,Longer than a week ago,Rarely,Healthcare,Somewhat accurate,No,Somewhat relevant,No impact,Trust somewhat,Not concerned,Low quality,Not influential,Enhance user controls
49,Male,PhD,Unemployed,Conservative,UK,2-4 hours,Twitter,Rarely,News articles,Independent bloggers,Within the last 24 hours,Once a day,Immigration,Very accurate,Yes,Somewhat relevant,No impact,Trust somewhat,Somewhat concerned,High quality,Somewhat influential,Improve fact-checking
44,Male,Master's,Employed,Conservative,USA,1-2 hours,Twitter,Rarely,Opinion pieces,Independent bloggers,Longer than a week ago,Rarely,Healthcare,Very accurate,No,Somewhat relevant,Strong impact,Trust somewhat,Very concerned,Low quality,Somewhat influential,Enhance user controls
37,Non-binary,High School,Student,Conservative,Australia,0-1 hour,Instagram,Once a day,News articles,Independent bloggers,Longer than a week ago,Several times a day,Environment,Somewhat accurate,Yes,Not relevant,Strong impact,Do not trust,Somewhat concerned,Low quality,Not influential,Improve fact-checking
